Question,Answer1,Answer2,Answer3,Answer4,Answer
"เมื่อพบเครื่องหมายนี้ ผู้ขับขี่ต้องปฏิบัติอย่างไร
",ให้ขับรถเเซงคันอื่นได้เลย ในเขตที่มีเครื่องหมายนี้,ให้ทางเเก่รถคันอื่นก่อน ในเขตที่มีเครื่องหมายนี้,ให้หยุดรถก่อน ในเขตที่มีเครื่องหมายนี้,ห้ามขับรถเเซงขึ้นหน้ารถคันอื่น ในเขตทางที่ติดตั้งป้าย,4
"เมื่อพบเครื่องหมายนี้ ผู้ขับขี่ต้องปฏิบัติอย่างไร
",ห้ามขับรถทุกชนิดเข้าไปในทิศทางที่ติดตั้งป้าย,ให้คนเดินเข้าไป ในเขตที่ติดตั้งป้าย,ให้เฉพาะรถเก๋งเข้าไป ในเขตที่ติดตั้งป้าย,ให้รถเข้าไปได้ ในเขตที่ติดตั้งป้าย,1
"เครื่องหมายนี้ คือเครื่องหมายอะไร
",ห้ามกลับรถไปทางขวา,ห้ามกลับรถไปทางซ้าย,ให้กลับรถไปทางซ้าย,ให้กลับรถไปทางขวา,1
"เครื่องหมายนี้ คือเครื่องหมายอะไร
",ให้กลับรถไปทางซ้าย,ห้ามกลับรถไปทางขวา,ห้ามกลับรถไปทางซ้าย,ให้กลับรถไปทางขวา,3
"เครื่องหมายนี้ คือเครื่องหมายอะไร
",ให้กลับรถไปทางซ้าย,ให้กลับรถไปทางขวา,ห้ามเลี้ยวซ้าย,ห้ามกลับรถไปทางซ้าย,3
"เครื่องหมายนี้ คือเครื่องหมายอะไร
",ให้กลับรถไปทางซ้าย,ให้กลับรถไปทางขวา,ห้ามกลับรถไปทางซ้าย,ห้ามเลี้ยวขวา,4
"เครื่องหมายนี้ คือเครื่องหมายอะไร
",ห้ามเปลี่ยนช่องเดินรถไปทางขวา,ให้เปลี่ยนช่องเดินรถไปทางขวา,ห้ามเปลี่ยนช่องเดินรถไปทางซ้าย,ให้เปลี่ยนช่องเดินรถไปทางซ้าย,1
"เครื่องหมายนี้ คือเครื่องหมายอะไร
",ห้ามเลี้ยวขวาหรือกลับรถ,ให้เลี้ยวซ้ายหรือกลับรถ,ให้เลี้ยวขวาหรือกลับรถ,ห้ามเลี้ยวซ้ายหรือกลับรถ,1
"เครื่องหมายนี้ หมายความอย่างไร
",ให้รถยนต์ทุกชนิดผ่านเข้าไปในเขตที่ติดตั้งป้าย,ห้ามรถยนต์ทุกชนิดผ่านเข้าไปในเขตที่ติดตั้งป้าย,ห้ามเฉพาะรถยนต์ผ่านเข้าไปในเขตที่ติดตั้งป้าย,ให้รถยนต์จอด เเละหยุดรับ-ส่งได้ในเขตที่ติดตั้งป้าย,2
"เครื่องหมายนี้ หมายความอย่างไร
",ห้ามรถบรรทุกทุกชนิดผ่านเข้าออกในเขตทางที่ติดตั้งป้าย,ให้รถบรรทุกผ่านเข้าไปในเขตที่ติดตั้งป้าย,ห้ามรถยนต์ทุกชนิดผ่านเข้าไปในเขตที่ติดตั้งป้าย,ให้รถยนต์ทุกชนิดผ่านเข้าไปในเขตที่ติดตั้งป้าย,1
"เครื่องหมายนี้ หมายความอย่างไร
",ห้ามรถบรรทุกทุกชนิดผ่าน,ห้ามรถจักรยานยนต์ผ่าน,ห้ามรถยนต์ทุกชนิดผ่าน,ให้รถยนต์ทุกชนิดผ่าน,2
"เครื่องหมายนี้ คือเครื่องหมายอะไร
",ห้ามจอดรถ,ห้ามหยุดรถ,ห้ามใช้เสียง,ให้ใช้เสียงได้,3
"เครื่องหมายนี้ คือเครื่องหมายอะไร
",ให้หยุดรถ,ห้ามจอดรถทุกชนิด,ให้เเซงได้,ให้ทาง,2
"เครื่องหมายนี้ คือเครื่องหมายอะไร
",ให้ล้อเลื่อนลากเข็นจอด,ให้รถจักรยานจอด,ให้รถจักรยานยนต์จอด,ห้ามหยุดหรือจอดรถทุกชนิด,4
"เครื่องหมายนี้ หมายความอย่างไร
",ห้ามคนผ่าน,ทางข้าม,บริเวณคนข้ามถนน,เฉพาะคนเดิน,4
"เครื่องหมายนี้ หมายความอย่างไร
",ให้ใช้น้ำหนักไม่เกิน 50 กก.,ห้ามใช้เสียงเกิน 50 เดซิเบล A,"ห้ามใช้ความเร็วเกินกว่าที่กำหนดเป็น ""กิโลเมตรต่อชั่วโมง"" ตามจำนวนตัวเลขที่รับในป้ายนั้นๆ",ให้ใช้ความเร็วเกิน 50 กม./ชม.,3
"เมื่อพบเครื่องหมายนี้ ผู้ขับขี่ต้องปฏิบัติอย่างไร
",ห้ามหยุดรถทุกชนิด,ให้ขับรถไปได้เฉพาะรถเก๋งเพราะเป็นทางเอก,ให้ลดความเร็วลงเเละขับต่อไปช้าช้า,ต้องหยุดให้รถเเละคนเดินเท้าในทางขวางหน้าผ่านไปก่อน เมื่อเห็นว่าปลอดภัยเเล้ว จึงขับรถต่อไปได้,4
