Question,Answer1,Answer2,Answer3,ล,Image,Answer
ในขณะขับรถผู้ขับขี่ต้องมีเอกสารใดใช้คู่กับใบอนุญาตขับรถ,บัตรประจำตัวประชาชน,สำเนาทะเบียนบ้าน,สำเนาภาพถ่ายใบคู่มือจดทะเบียนรถ,บัตรประกันสังคม,-,3
ผู้ขับรถกระทำผิดตามกฎหมายจราจรทางบกเเละได้รับสั่งจาก เจ้าพนักงานจราจรต้องไปติดต่อชำระค่าปรับภายในกี่วัน,10 วัน,7 วัน,15 วัน ,30 วัน,-,2
ผู้ขับรถไม่มีใบอนุญาตขับรถมีความผิดอย่างไร,จำคุกไม่เกิน 1 ปี,จำคุกไม่เกิน 1 เดือน หรือปรับไม่เกิน 1000 บาท หรือทั้งจำทั้งปรับ,ปรับไม่เกิน 2000 บาท,ปรับไม่เกิน 5000 บาท,-,2
รถจักรยานยนต์ที่มีอายุครบกี่ปีต้องนำไปตรวจสภาพรถ ก่อนเสียภาษีประจำปี,1 ปี,3 ปี ,2 ปี,5 ปี,-,3
ตาม พ.ร.บ. รถยนต์ พ.ศ.2522 ''รถ'' หมายความว่า,รถยนต์ รถจักรยานยนต์ รถพ่วง รถบดถนน รถเเทรกเตอร์ เเละรถอื่นที่กำหนดในกฎกระทรวง,รถยนต์ รถจักรยานยนต์ รถพ่วง,รถยนต์ รถจักรยานยนต์ รถพ่วง รถบดถนน รถเเทรกเตอร์,รถยนต์ รถจักรยานยนต์ รถพ่วง รถเเทรกเตอร์,-,1
ตาม พ.ร.บ. รถยนต์ พ.ศ.2522 ''รถยนต์'' หมายความว่า,รถสาธารณะ รถยนต์บริการ รถเเท๊กซี่ เเละรถยนต์ส่วนบุคคล,รถสาธารณะ รถยนต์บริการ เเละรถจักรยานยนต์ส่วนบุคคล,รถจักรยานยนต์สาธารณะ รถยนต์บริการ และรถจักรยานยนต์ส่วนบุคคล,รถสาธารณะ รถยนต์ เเละรถยนต์ส่วนบุคคล,-,4
ตาม พ.ร.บ. รถยนต์ พ.ศ.2522 ''รถจักรยานยนต์'' หมายความว่า,รถที่เดินรถกำลังเครื่องยนต์หรือกำลังไฟฟ้าเเละ มีล้อไม่เกินสองล้อถ้ามีถ่วงข้างมีล้ออีกไม่เกินหนึ่งล้อ,รถที่เดินรถกำลังเครื่องยนต์หรือกำลังไฟฟ้า เเละมีล้อไม่เกินสองล้อ,รถที่เดินรถกำลังเครื่องยนต์มีล้อไม่เกินสองล้อ,รถที่เดินรถกำลังเครื่องยนต์หรือกำลังไฟฟ้า เเละมีล้อเกินสองล้อ,-,1
ข้อใดคือ ''รถยนต์ส่วนบุคคล'',รถจักรยานยนต์ส่วนบุคคล,รถเเท๊กซี่,รถสามล้อรับจ้างสาธารณะ,รถยนต์ป้ายเเดง,-,1
รถที่นำมาใช้บนถนนต้องมีลักษณะอย่างไร,รถที่โคมไฟหน้าไม่ติด,รถที่มีเสียงดัง 90 เดซิเบล A,รถที่มีควันดำ 55 เปอร์เซ็นต์,รถที่จดทะเบียนเเละชำระภาษีเรียบร้อยเเล้ว,-,4
รถที่สามารถนำมาจดทะเบียนต้องมีลักษณะอย่างใด,รถต้องมีอุปกรณ์ส่วนควบถูกต้องเเละผ่านการ ตรวจสภาพรถ,รถต้องมีอุปกรณฺส่วนควบถูกต้อง,รถที่ซื้อจากศูนย์จำหน่ายรถทั่วไป,รถที่ผ่านการตรวจสภาพรถ จากสถานตรวจสภาพรถเอกชน,-,1
รถต่อไปนี้ได้รับยกเว้นไม่ต้องจดทะเบียน,รถของวัด,รถของมูลนิธิ,รถสำหรับเฉพาะพระองค์พระบาทสมเด็จพระเจ้าอยู่หัว ,รถของผู้บัญชาทหารสูงสุด,-,3
รถต่อไปนี้ได้รับยกเว้นไม่ต้องเสียค่าธรรมเนียมเว้นเเต่ ค่าธรรมเนียมเเผ่นป้ายทะเบียนรถ,รถยนต์รับจ้าง,รถจักรยานยนต์ส่วนบุคคล,รถดับเพลิง,รถตู้ส่วนบุคคล,-,3
รถต่อไปนี้ได้รับยกเว้นไม่ต้องเสียค่าธรรมเนียมเว้นเเต่ ค่าธรรมเนียมเเผ่นป้ายทะเบียนรถ,รถพยาบาลที่มิใช่เป็นรถสำหรับรับจ้าง,รถจักรยานยนต์ส่วนบุคคล,รถยนต์ ,รถตู้ส่วนบุคคล,-,1
