Question,Answer1,Answer2,Answer3,Answer4,Image,Answer
การขับรถข้าวงเวียนที่ไม่มีสัญญาณไฟจราจรควรปฏิบัติอย่างไร,ให้รถทางขวามือของเราที่อยู่ในวงเวียนไปก่อน,ให้รถทางซ้ายมือของเราที่อยู่ในวงเวียนไปก่อน,ให้รถที่เข้าวงเวียนและจะเลี้ยวซ้ายไปก่อน,ให้รถที่เข้าวงเวียนและจะตรงไปให้ไปก่อน,-,1
การขับรถเลี้ยวบริเวณทางแยกที่มีช่องจราจรมากกว่า 2 ช่องทาง ข้อใดถูกต้อง,เปลี่ยนช่องจราจรไปทางซ้ายหรือขวาขณะอยู่ในทางเลี้ยว,ขับคร่อมช่องจราจรเพื่อตีวงได้กว้างขึ้น,ขับอยู่ในช่องจราจรเดิมตั้งแต่เริ่มเข้าทางแยกจนเลี้ยวเสร็จสิ้น,ขับในช่องจราจรช้ายสุดแล้วเปลี่ยนไปช่องจราจรด้านขวาในขณะเลี้ยว,-,3
ในกรณีที่ท่านขับรถผ่านซอยที่มีรถรอออกเป็นจำนวนมากควรปฏิบัติอย่างไร,บีบแตรหรือให้สัญญาณไฟเตือนรถที่จะออกจากซอยก่อนขับผ่านไป,เปิดทางให้รถออกจากซอยได้บ้างสลับกับรถทางตรง,พยายามขับให้ชิดกันหน้าเพื่อไม่ให้รถในซอยแทรกออกมา,ขับรถผ่านซอยด้วยความเร็วเพื่อส่งสัญญาณว่าขอไปก่อน,-,2
ทัศนคติและจิตสำนึกในการขับรถอย่างปลอดภัยของผู้ขับรถคืออะไร,ขับรถช้า ใจเย็น,ขับรถเก่งคล่องแคล่ว,ขับรถอย่างมีสติเคร่งครัดวินัยจราจรแสดงออกถึงมารยาทและน้ำใจ,ขับรถดีไม่เกิดอุบัติเหตุ,-,3
สิ่งใดที่ผู้ขับรถไม่ควรทำเมื่อได้รับสัญญาณไฟเขียวให้ขับเคลื่อนรถไปได้,ค่อยๆ เคลื่อนรถออกโดยทิ้งช่วงห่างกับกันหน้าพอสมควร,ชะลอให้รถจักรยานยนต์หรือรถยนต์ที่อยู่ด้านหน้าเคลื่อนออกไปก่อน,ตรวจสอบรถในทางเยกอื่นที่อาจวิ่งออกมาก่อนที่จะขับเข้าสู่ทางแยกด้านหน้า,บีบแตรเร่งรถกันหน้าให้เคลื่อนตัวออกโดยเร็ว,-,4
สิ่งใดที่ผู้ขับรถควรทำเมื่อได้รับสัญญาณไฟเหลือง,ชะลอรถและหยุดรถที่เส้นขาวให้หยุดรถเพื่อป้องกันการขับฝ่าสัญญาณไฟแดง,บีบแตรเร่งรถกันหน้าให้ขับเร็วขึ้นเพื่อให้รถเราไม่ติดสัญญาณไฟแดง,ขับเปลี่ยนเลนเพื่อแซงรถขึ้นไปให้พ้นสัญญาณไฟแดง,ขับตามคันหน้าไปโดยฝ่าสัญญาณไฟแดง,-,1
สิ่งที่ผู้ขับรถควรทำเมื่อเห็นคนยืนบนฟุตบาทและแสดงท่าที่จะข้ามถนนตรงทางม้าลาย,บีบแตรเตือนคนที่จะข้ามถนนและเร่งความเร็วผ่านไป,แตะเบรกเตือนให้รถหลังรู้ว่าท่านกำลังจะหยุดรถ และหยุดรถตรงทางม้าลาย,ขับรถตามหลังท้ายคันหน้าอย่างกระชั้นชิดโดยไม่หยุดให้คนข้ามถนน,ขับรถแซงคันที่จอดรถให้คนข้ามและขับผ่านไปโดยเร็ว,-,2
การให้สัญญาณไฟที่ถูกต้องเมื่อขับรถเข้าสู่ทางร่วมทางแยก,ให้สัญญาณไฟฉุกเฉินเมื่อต้องการขับรถตรงไป,ให้สัญญาณไฟเฉพาะเลี้ยวขวาเท่านั้น,ให้สัญญาณไฟทุกครั้งเมื่อต้องการเลี้ยวซ้ายหรือขวา,ไม่จำเป็นต้องให้สัญญาณฟเลี้ยวขวาหรือช้ายเมื่อขับตามรถคันหน้าที่ให้สัญญาณไฟเลี้ยวไปทางเดียวกัน,-,3
ใครบ้างที่ต้องคาดเข็มขัดนิรภัยขณะโดยสารไปในรถยนต์เพื่อความปลอดภัยของชีวิต,คนขับรถและผู้โดยสารทุกคนทั้งผู้ใหญ่และเด็กที่นั่งตอนหน้าและตอนหลังรถ,คนขับรถและผู้โดยสารที่นั่งตอนหน้ารถเท่านั้น,คนขับรถและผู้โดยสารที่มีอายุมากกว่า 12 ปีขึ้นไป เพราะสามารถกาดเข็มขัดนิรภัยได้,คนขับรถและผู้โดยสาร ยกเว้นคนแก่กับเด็กที่มีอายุน้อยกว่า 12 ปีลงมา,-,1
ผู้ขับรถควรทำอย่างไรให้แซงรถได้อย่างปลอดภัยและไม่เสียมารยาท,บีบแตรให้สัญญาณก่อนแซงเร่งความเร็วแซงซ้ายหรือขวาขึ้นไปตลอดเส้นทางที่รถวิ่ง,ให้สัญญาณไฟก่อนแซงเร่งความเร็วแซงขึ้นไปแซงแล้รีบหักกลับเข้าช่องทางเดิมในระยะกระชั้นชิดลดความเร็วลงให้เท่ากับรถที่เเซงขึ้นไป,บีบแตรให้สัญญาณก่อนแซงเร่งความเร็วแซงขึ้นไปแซงแล้ววิ่งรถคู่ขนานไปกับรถที่แซงขึ้นไปอีกระยะหนึ่ง,ให้สัญญาณไฟก่อนแซง เร่งความเร็วแซงขึ้นไป เว้นระยะห่างก่อนให้สัญญาณไฟขอกลับเข้าช่องจราจรเดิม เร่งความเร็วรถให้เหมาะสมกับรถที่อยู่ด้านหน้า,-,4
